2019-05-20 15:19:01,003 [Worker-882: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-20 15:19:01,026 [Worker-882: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-20 15:19:01,028 [Worker-882: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-20 15:19:01,046 [Worker-882: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\AlexandruStan\Desktop\Development\eclipse-workspace\JavaEE-learning-workspace\YL_JavaEE7_JMS\src\test\resources
2019-05-20 15:20:20,013 [Worker-886: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-20 15:20:20,034 [Worker-886: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-20 15:20:20,046 [Worker-886: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-20 15:20:20,058 [Worker-886: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\AlexandruStan\Desktop\Development\eclipse-workspace\JavaEE-learning-workspace\YL_JavaEE7_JMS\src\test\resources
2019-05-20 15:20:37,602 [Worker-880: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-20 15:20:37,621 [Worker-880: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-20 15:20:37,623 [Worker-880: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-20 15:20:37,640 [Worker-880: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\AlexandruStan\Desktop\Development\eclipse-workspace\JavaEE-learning-workspace\YL_JavaEE7_JMS\src\test\resources
2019-05-20 15:20:53,077 [Worker-884: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-20 15:20:53,124 [Worker-884: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-20 15:20:53,133 [Worker-884: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-20 15:20:53,151 [Worker-884: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\AlexandruStan\Desktop\Development\eclipse-workspace\JavaEE-learning-workspace\YL_JavaEE7_JMS\src\test\resources
2019-05-20 15:22:03,470 [Worker-886: Creating maven-archetype-webapp] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' C:\Users\AlexandruStan\Desktop\Development\eclipse-workspace\JavaEE-learning-workspace\YL_JavaEE7_JMS\pom.xml
2019-05-20 15:22:04,149 [Worker-886: Creating maven-archetype-webapp] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.mycompany:YL_JavaEE7_JMS:0.0.1-SNAPSHOT @ C:\Users\AlexandruStan\Desktop\Development\eclipse-workspace\JavaEE-learning-workspace\YL_JavaEE7_JMS\pom.xml.
2019-05-20 15:22:05,189 [Worker-886: Creating maven-archetype-webapp] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /YL_JavaEE7_JMS/src/main/java
2019-05-20 15:22:05,198 [Worker-886: Creating maven-archetype-webapp] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /YL_JavaEE7_JMS/src/main/resources
2019-05-20 15:22:05,216 [Worker-886: Creating maven-archetype-webapp] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /YL_JavaEE7_JMS/src/test/java
2019-05-20 15:22:06,946 [Worker-886: Creating maven-archetype-webapp] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 3 sec
2019-05-20 15:22:07,612 [Worker-887: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-20 15:22:07,647 [Worker-887: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-20 15:22:07,666 [Worker-887: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-20 15:22:07,681 [Worker-887: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\AlexandruStan\Desktop\Development\eclipse-workspace\JavaEE-learning-workspace\YL_JavaEE7_JMS\src\test\resources
2019-05-20 15:22:44,315 [Worker-881: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-20 15:22:44,334 [Worker-881: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-20 15:22:44,366 [Worker-881: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-20 15:22:44,388 [Worker-881: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\AlexandruStan\Desktop\Development\eclipse-workspace\JavaEE-learning-workspace\YL_JavaEE7_JMS\src\test\resources
2019-05-20 15:23:45,726 [Worker-876: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-20 15:23:45,750 [Worker-876: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-20 15:23:45,760 [Worker-876: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-20 15:23:45,787 [Worker-876: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\AlexandruStan\Desktop\Development\eclipse-workspace\JavaEE-learning-workspace\YL_JavaEE7_JMS\src\test\resources
2019-05-20 15:40:29,839 [Worker-890: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-20 15:40:29,903 [Worker-890: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-20 15:40:29,921 [Worker-890: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-20 15:40:29,943 [Worker-890: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\AlexandruStan\Desktop\Development\eclipse-workspace\JavaEE-learning-workspace\YL_JavaEE7_JMS\src\test\resources
2019-05-20 15:40:38,970 [Worker-876: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-20 15:40:38,978 [Worker-876: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-20 15:40:38,986 [Worker-876: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-20 15:40:39,001 [Worker-876: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\AlexandruStan\Desktop\Development\eclipse-workspace\JavaEE-learning-workspace\YL_JavaEE7_JMS\src\test\resources
2019-05-20 15:41:00,519 [Worker-892: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-20 15:41:00,529 [Worker-892: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-20 15:41:00,538 [Worker-892: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-20 15:41:00,552 [Worker-892: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\AlexandruStan\Desktop\Development\eclipse-workspace\JavaEE-learning-workspace\YL_JavaEE7_JMS\src\test\resources
2019-05-20 15:41:26,485 [Worker-876: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-20 15:41:26,504 [Worker-876: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-20 15:41:26,514 [Worker-876: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-20 15:41:26,540 [Worker-876: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\AlexandruStan\Desktop\Development\eclipse-workspace\JavaEE-learning-workspace\YL_JavaEE7_JMS\src\test\resources
2019-05-20 15:41:44,200 [Worker-894: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-20 15:41:44,211 [Worker-894: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-20 15:41:44,221 [Worker-894: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-20 15:41:44,228 [Worker-894: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\AlexandruStan\Desktop\Development\eclipse-workspace\JavaEE-learning-workspace\YL_JavaEE7_JMS\src\test\resources
2019-05-20 15:41:52,407 [Worker-891: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-20 15:41:52,413 [Worker-891: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-20 15:41:52,420 [Worker-891: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-20 15:41:52,426 [Worker-891: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\AlexandruStan\Desktop\Development\eclipse-workspace\JavaEE-learning-workspace\YL_JavaEE7_JMS\src\test\resources
2019-05-20 15:42:08,682 [Worker-896: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-20 15:42:08,693 [Worker-896: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-20 15:42:08,703 [Worker-896: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-20 15:42:08,719 [Worker-896: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\AlexandruStan\Desktop\Development\eclipse-workspace\JavaEE-learning-workspace\YL_JavaEE7_JMS\src\test\resources
2019-05-20 15:42:25,683 [Worker-893: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-20 15:42:25,696 [Worker-893: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-20 15:42:25,707 [Worker-893: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-20 15:42:25,724 [Worker-893: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\AlexandruStan\Desktop\Development\eclipse-workspace\JavaEE-learning-workspace\YL_JavaEE7_JMS\src\test\resources
2019-05-20 15:42:39,671 [Worker-890: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-20 15:42:39,683 [Worker-890: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-20 15:42:39,692 [Worker-890: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-20 15:42:39,711 [Worker-890: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\AlexandruStan\Desktop\Development\eclipse-workspace\JavaEE-learning-workspace\YL_JavaEE7_JMS\src\test\resources
2019-05-20 15:43:18,332 [Worker-890: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-20 15:43:18,342 [Worker-890: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-20 15:43:18,352 [Worker-890: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-20 15:43:18,362 [Worker-890: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\AlexandruStan\Desktop\Development\eclipse-workspace\JavaEE-learning-workspace\YL_JavaEE7_JMS\src\test\resources
2019-05-20 15:45:06,605 [Worker-890: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.mycompany:YL_JavaEE7_JMS:0.0.1-SNAPSHOT @ C:\Users\AlexandruStan\Desktop\Development\eclipse-workspace\JavaEE-learning-workspace\YL_JavaEE7_JMS\pom.xml.
2019-05-20 15:45:13,355 [Worker-890: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-20 15:45:13,367 [Worker-890: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-20 15:45:13,377 [Worker-890: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-20 15:45:13,383 [Worker-890: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\AlexandruStan\Desktop\Development\eclipse-workspace\JavaEE-learning-workspace\YL_JavaEE7_JMS\src\test\resources
2019-05-20 15:45:13,384 [Worker-890: Building workspace] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of YL_JavaEE7_JMS
2019-05-20 15:45:13,943 [Worker-890: Building workspace] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for YL_JavaEE7_JMS
2019-05-20 15:45:13,950 [Worker-890: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-20 15:45:14,969 [Worker-894: Updating Maven Project] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2019-05-20 15:45:15,604 [Worker-894: Updating Maven Project] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.mycompany:YL_JavaEE7_JMS:0.0.1-SNAPSHOT @ C:\Users\AlexandruStan\Desktop\Development\eclipse-workspace\JavaEE-learning-workspace\YL_JavaEE7_JMS\pom.xml.
2019-05-20 15:45:17,013 [Worker-894: Updating Maven Project] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /YL_JavaEE7_JMS/src/main/java
2019-05-20 15:45:17,014 [Worker-894: Updating Maven Project] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /YL_JavaEE7_JMS/src/main/resources
